baseTokenName,baseTokenSymbol
 book of meme,bome
 billionairebeefcoin,bibc
 blockchain operating system,sbos
 cat arm,catarm
 crazypepe,crazypepe
 halal certified token,halal
 ponke,ponke
 pump it up, pump
 smog,smog
$astrobull,$astrobull
$bobik,bobik
$freddy,$freddy
$jcvd,$jcvd
$solgoku token,$solgoku
$trash,trash
1 man 1 jar ,dontgoogle
1sol.io (wormhole),1sol
20years,20y
21x,21x
25years,25years
2bttns,2bttns
4011 banana,4011
42069,42069
4twenty,420420
5head,5head
8bitgrizz,$bgzz
8trump,8trump
a gently used 2001 honda civic,usedcar
a toxic masculine wife beater,wifebeater
acat,acat
achi inu,achi
adlfin,adlfin
ahegao,ahegao
ai coin,ai
ai dragon,chatgpt
aidoge,aidoge
aimars,aimars
alan ai,alanai
albino,white
all art,aart
anal,analgang
analos,analos
andy,andy
ape city,apecity
arb protocol,arb
astropup,apup
autism pepe,autism
autismo,tism
avatard,avtd
abble,aabl
abrahum lincoin,abrahum
absoluteunit,boat
access protocol,acs
ada,ada
ahegao network,ahegao
ahmad mohsin,pew
akita,akita
albemarle,albemarle
albert,albert
alex the parrot,parrot
all eyez on sol,tupac
american coin,usa
amish butter cat,butter
angry cat,hiss
anita max wynn,wynn
anonymous,anonymous
anxiety cat,anxcat
anzeigenhauptmeister,haupt
ape,ape
apengers,apengers
apple cat,acat
arnie schwurzenegar,arnie
artrade token,atr
ashera cat,asheracat
astropenguin wifshades,apws
atlantisassets,atlant
autistic racketeering,ar15
autistic solana apeing penguins,asap
automatic 50 cal,bfg
axolitl,axo
azul the bear,azul
babycapybara,babycapy
bants,bants
bart,bart
base coke farm,coke
based fighter,shoryu
based smole ,bsmole
batmoon,batmoon
bawls,bawls
bernard bear,babe
best buy - gme killer,buy
betta fish coin,betta
betti,$betti
big pump,pump
black coqinu,bcoq
blessings x pepe,bless
blow,blow
blue gates,microsoft
bnb,bnb
bobaoppa,bobaoppa
bobaoppa by machi,$bobaoppa
bomboclat,$bclat
bome 404,bome404
bome v2,bome.v2
bonjamon fronklin,fronk
bonklana,bok
book of hat,boha
book of meme,bome
book of meme 2.0,bome 2.0
book of sbf,bsbf
botista,botista
bpepe,bpepe
bskt,bskt
btr,btr
bukele,bukl
bull of meme,$bull
bullz,bullz
bupe,bupe
baba,$baba
baby,baby
baby book of meme,babybome
baby grok-ai,grok-ai
baby mafia,bmf
baby meme coin,babymeme
baby pepezilla,pepezla
baby solana,babysol
